GENE PRODUCT DB,GENE PRODUCT ID,SYMBOL,GO TERM,GO NAME,ECO ID,GO EVIDENCE CODE,REFERENCE,WITH/FROM,TAXON ID,GO ASPECT,Organel,Gene,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id
UniProtKB,A4D218,MAD1L1,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000002822,MAD1L1,Supported,Nuclear membrane;Nucleoplasm,,,,Nuclear membrane;Nucleoplasm,,,,,,Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
UniProtKB,A4D226,LOC285872,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000044,UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D275,ARPC1B,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000130429,ARPC1B,Supported,Cytosol;Vesicles,,,,Cytosol;Vesicles,,,,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
UniProtKB,A4D299,TAF6,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,ARBA:ARBA00026330|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000106290,TAF6,Supported,Nucleoplasm,Cytosol,,,Nucleoplasm,,Cytosol,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
UniProtKB,A4D2A4,ZNF3,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000166526,ZNF3,Approved,Nucleoplasm,,,,,Nucleoplasm,,Nucleoplasm,,,Nucleoplasm (GO:0005654)
UniProtKB,A4D2B0,MBLAC1,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D2B0,MBLAC1,GO:0005634,nucleus,ECO:0000314,IDA,PMID:30507380,,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D2F2,HUS1,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000136273,HUS1,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A4D2L0,LOC402257,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D2M8,LOC402280,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D2P1,RAC1,GO:0005634,nucleus,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P63001|ensembl:ENSMUSP00000079380,9606,C,nucleus,ENSG00000136238,RAC1,Supported,Cytosol;Nucleoplasm,Nucleoli,,,Cytosol;Nucleoli;Nucleoplasm,,,,Cytosol;Nucleoli;Nucleoplasm,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
UniProtKB,A4D7U3,ATF2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191|UniRule:UR001116761,9606,C,nucleus,ENSG00000115966,ATF2,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A4D7U7,ATF2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000115966,ATF2,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A4D7U9,ATF2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191|UniRule:UR001116761,9606,C,nucleus,ENSG00000115966,ATF2,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,,,,Nucleoplasm (GO:0005654)
